gym,year,totals,classtype,count,ward
Ward 6,1923,8282,workingboys,858,6
Ward 6,1924,3167,workingboys,392,6
Ward 7,1914,15425,workingboys,1621,7
Ward 7,1915,13042,workingboys,1413,7
Ward 7,1916,4015,workingboys,309,7
Ward 9,1914,10812,workingboys,326,9
Ward 9,1915,14725,workingboys,973,9
Ward 9,1916,18992,workingboys,719,9
Cabot Street Gymnasium,1914,38005,women,4701,18
Cabot Street Gymnasium,1915,29567,women,2631,18
Cabot Street Gymnasium,1916,24618,women,1732,18
Cabot Street Gymnasium,1917,37082,women,1828,18
Cabot Street Gymnasium,1918,33193,women,395,18
Cabot Street Gymnasium,1919,10500,women,145,18
Cabot Street Gymnasium,1920,12053,women,883,18
Cabot Street Gymnasium,1921,10615,women,25,18
Cabot Street Gymnasium,1922,25442,women,2312,18
Cabot Street Gymnasium,1923,21073,women,2789,18
Cabot Street Gymnasium,1924,22754,women,1843,18
Cabot Street Gymnasium,1925,10465,women,2400,18
Curtis Hall Gymnasium,1914,43240,women,7890,22
Curtis Hall Gymnasium,1915,33415,women,5475,22
Curtis Hall Gymnasium,1916,29265,women,4870,22
Curtis Hall Gymnasium,1917,31240,women,4750,22
Curtis Hall Gymnasium,1918,19833,women,3037,22
Curtis Hall Gymnasium,1919,7228,women,1554,22
Curtis Hall Gymnasium,1920,9312,women,987,22
Curtis Hall Gymnasium,1921,17848,women,1196,22
Curtis Hall Gymnasium,1922,7770,women,0,22
Curtis Hall Gymnasium,1923,15623,women,1618,22
Curtis Hall Gymnasium,1924,16102,women,2562,22
Curtis Hall Gymnasium,1925,16830,women,3407,22
D Street Gymnasium,1914,18359,women,905,13
D Street Gymnasium,1915,21740,women,293,13
D Street Gymnasium,1916,24228,women,888,13
D Street Gymnasium,1917,25159,women,861,13
D Street Gymnasium,1918,22956,women,749,13
D Street Gymnasium,1919,5821,women,85,13
D Street Gymnasium,1920,0,women,0,13
D Street Gymnasium,1921,25818,women,0,13
D Street Gymnasium,1922,17697,women,2153,13
East Boston Gymnasium,1914,33227,women,4266,2
East Boston Gymnasium,1915,32184,women,2457,2
East Boston Gymnasium,1916,27781,women,2165,2
East Boston Gymnasium,1917,21709,women,1402,2
East Boston Gymnasium,1918,19837,women,1161,2
East Boston Gymnasium,1920,8348,women,802,2
East Boston Gymnasium,1921,20185,women,1028,2
East Boston Gymnasium,1922,23296,women,929,2
East Boston Gymnasium,1923,24539,women,1924,2
East Boston Gymnasium,1924,10361,women,638,2
North Bennet Street,1914,26513,women,2240,6
North Bennet Street,1915,19566,women,1298,6
North Bennet Street,1916,18888,women,674,6
North Bennet Street,1917,19855,women,1163,6
North Bennet Street,1918,13337,women,502,6
North Bennet Street,1920,5410,women,665,6
North Bennet Street,1921,23150,women,1625,6
North Bennet Street,1922,31040,women,2375,6
North Bennet Street,1923,29383,women,1918,6
North Bennet Street,1924,25438,women,635,6
North Bennet Street,1925,5370,women,1135,6
Roslindale Gymnasium,1919,4340,women,888,24
Roslindale Gymnasium,1920,13536,women,3784,24
Roslindale Gymnasium,1921,24313,women,4066,24
Roslindale Gymnasium,1922,25055,women,2015,24
Roslindale Gymnasium,1923,24835,women,1481,24
Roslindale Gymnasium,1924,22364,women,938,24
Roslindale Gymnasium,1925,12783,women,1651,24
Ward 6,1917,12576,women,190,6
Ward 6,1918,7222,women,186,6
Ward 6,1919,3065,women,262,6
Ward 6,1921,1134,women,118,6
Ward 6,1922,5107,women,234,6
Ward 12,1917,31817,women,3366,12
Ward 12,1918,28404,women,3098,12
Ward 12,1919,13718,women,1072,12
Ward 12,1920,15388,women,853,12
Ward 12,1921,18318,women,610,12
Ward 12,1922,22449,women,660,12
Ward 12,1923,22692,women,1195,12
Ward 12,1924,18122,women,1729,12
Ward 16,1914,50063,women,9383,16
Ward 16,1915,49721,women,6618,16
Ward 16,1916,48606,women,6288,16
Ward 17,1916,14216,women,1765,17
Ward 17,1917,56818,women,6625,17
Ward 17,1918,48114,women,6714,17
Ward 17,1919,19190,women,2089,17
Ward 17,1920,29861,women,3560,17
Ward 17,1921,35771,women,4262,17
Ward 17,1922,42634,women,5127,17
Ward 17,1923,39102,women,5407,17
Ward 17,1924,33717,women,5225,17
Ward 3,1914,17712,women,1846,3
Ward 3,1915,17712,women,1846,3
Ward 3,1916,16976,women,1797,3
Ward 4,1917,18643,women,1581,4
Ward 4,1918,14879,women,1080,4
Ward 4,1919,5593,women,401,4
Ward 4,1920,9047,women,798,4
Ward 4,1921,8036,women,487,4
Ward 4,1922,12860,women,988,4
Ward 4,1923,11687,women,947,4
Ward 4,1924,11702,women,619,4
Ward 5,1917,19026,women,1229,5
